lineage,designation_date
B.1.1.7,
B.1.177,
B.1.1.279,
B.1.177.2,
B.1.1.1,
B.1.1.70,
B.6.6,
B.4,
B.1.1.37,
B.1.177.11,
B.1.1.315,
B.33,
B.40,
B.1.1.269,
B.1.1.305,
B.1.1.26,
D.2,
B.1.1.208,
B.1.177.7,
B.15,
B.1.1.227,
B.1.1.303,
B.1.1.123,
B.1.177.23,
B.1.1.311,
B,
B.1.1.219,
B.1.1.265,
B.1.1.62,
B.11,
B.1.1.133,
B.39,
B.1.1.8,
B.1.1.161,
A.2,
B.1.1.135,
B.1.177.10,
B.1.1.200,
B.1.177.24,
C.1,
B.1.1.33,
B.1.1.4,
B.1.1.307,
B.1.1.290,
B.1.1.257,
B.1.177.21,
B.1.177.20,
A.1,
B.1.1.298,
B.1.1.282,
B.1.1.284,
B.1.1.302,
B.1.177.17,
B.1.1.162,
B.3,
B.1.1.61,
B.1.177.19,
B.1.177.16,
B.1.1.253,
B.1.1.204,
B.1.1.65,
B.1.1.211,
B.1.1.191,
B.1.1.294,
B.1.1.277,
B.6,
B.1.1.31,
B.1.1.171,
B.1.177.18,
B.1.1.64,
B.1.1.80,
B.1.177.9,
B.1.1.138,
B.1.1.245,
B.1.1.306,
B.1.1.203,
B.1.177.4,
B.1.1.153,
B.48,
D.3,
B.1.1.196,
B.3.1,
B.1.1.46,
B.1.1.154,
B.1.177.5,
B.1.1.117,
B.1.1.226,
B.1.1.316,
B.1.1.301,
B.36,
B.1.1.71,
B.1.1.51,
B.41,
B.1.177.8,
B.1.1.97,
B.1.1.274,
C.14,
B.1.1.39,
B.1.1.194,
B.1.1.139,
B.1.1.291,
B.18,
B.1.1.232,
B.1.1.180,
B.1.1.134,
B.1.1.54,
B.1.1.216,
B.1.1.255,
B.1.1.272,
B.1.1.293,
B.30,
B.1.1.207,
B.1.1.258,
B.1.1.237,
B.1.1.10,
B.1.1.141,
B.1.1.144,
B.1.1.28,
B.1.177.12,
B.1.1.137,
B.1.1.285,
B.1.1.206,
B.1.1.299,
B.1.1.261,
B.1.1.55,
B.1.1.118,
A.3,
B.1.1.236,
B.1.1.190,
B.1.1.309,
B.53,
B.1.1.170,
B.1.1.312,
